"","income","weights","Sex","Ethnicity","Father_Occ","Mother_Occ","Mother_Edu","Father_Edu","Birth_Area"
"44",20232.0191151765,123,0,2,2,2,3,3,4
"45",19145.7274684769,123,0,2,3,0,0,11,2
"46",168662.865276734,127,1,2,3,5,6,6,3
"47",7259.18985428425,179,1,5,3,0,6,6,3
"48",14534.9847989328,179,0,5,3,5,6,6,4
"49",20757.139096251,432,0,2,4,0,0,0,4
"50",2848.50222375909,81,1,2,3,0,0,6,1
"51",8210.64574712247,101,0,2,6,2,6,6,4
"52",11635.9421060719,130,1,2,2,0,0,2,4
"53",5352.69201344604,153,1,2,4,0,3,3,2
"54",5520.68258772439,77,0,2,3,0,6,1,3
"55",9806.97960041814,52,0,2,2,6,2,3,4
"56",10630.7195381811,119,0,2,2,0,6,6,4
"57",15685.132863443,75,0,2,3,0,5,2,4
"58",11803.6379587205,35,0,3,2,6,6,6,1
"59",10328.6779141832,125,1,2,2,0,2,2,4
"60",12012.5499679288,444,1,2,2,0,6,6,4
"61",27877.9843333289,101,1,2,2,0,6,6,4
"62",39670.1540325719,61,0,2,4,4,15,15,4
"63",9756.96778418891,110,1,2,4,0,7,6,4
"64",3900.89002167303,104,0,3,3,3,0,0,4
"65",21693.8778684582,125,1,2,3,0,3,3,2
"66",2782.03865068197,99,0,2,3,0,6,6,4
"67",9229.31129136721,94,1,3,3,3,0,0,3
"68",4957.96861089346,67,1,2,3,3,6,6,4
"69",907.027292389348,71,1,3,2,2,0,0,3
"70",5567.62465151029,81,0,2,6,6,6,6,3
"71",17068.691989351,219,1,2,4,0,6,6,4
"72",11785.5636127394,190,1,2,4,2,2,6,4
"73",18369.4974967934,110,0,2,4,4,12,12,4
"74",1902.99157231717,110,0,2,2,6,1,4,3
"75",10290.4368885043,64,0,5,3,0,6,6,1
"76",13279.9408935026,65,0,2,3,2,3,3,4
"77",19942.033334842,61,1,2,3,4,4,4,4
"78",20867.4581251895,425,1,2,2,0,4,4,4
"79",9153.37531274324,149,0,2,4,0,6,6,4
"80",12260.4583498158,101,0,2,2,0,12,10,4
"81",6655.16461702063,25,1,2,3,0,0,0,4
"82",4151.58206034138,44,0,2,3,3,3,0,4
"83",1409.99491773363,110,1,2,2,0,6,3,3
"84",6928.36601408135,177,0,3,4,0,1,3,4
"85",6088.30928607809,366,0,2,4,4,12,15,4
"86",7994.32515697046,23,0,3,3,3,0,0,4
"87",18081.3900362901,179,0,2,6,4,15,14,4
"88",3958.43965122626,432,1,2,2,6,3,3,4
"89",15890.3707719755,104,1,2,4,6,2,5,2
"90",6165.39273706196,81,0,3,3,3,0,0,3
"91",3438.20956994268,127,0,2,4,5,6,10,4
"92",22026.0124679242,592,0,2,4,4,12,12,4
"93",5848.13689653115,152,1,2,2,2,6,6,4
"94",3101.3673851197,177,0,2,3,0,1,1,4
"95",27674.978948922,219,1,2,4,4,12,14,4
"96",12654.32135074,219,1,2,2,2,6,6,4
"97",24421.1961234508,378,0,2,3,0,6,6,4
"98",6587.10878141399,64,0,2,6,6,6,6,4
"99",20092.2923834621,77,0,2,4,0,0,0,4
"100",12674.9621045243,52,1,3,2,6,0,0,4
"101",13312.8250361876,36,0,2,3,0,2,4,2
"102",1458.35942419234,210,1,5,3,0,0,2,3
"103",1290.67240908034,23,1,3,2,6,6,4,2
"104",35932.255555929,128,1,2,4,0,6,12,4
"105",4538.20214969058,52,1,3,3,3,0,0,3
"106",1791.51029769069,15,0,3,3,3,0,0,4
"107",7116.48402510023,125,1,2,3,0,6,6,1
"108",16562.555400285,169,0,2,4,0,12,15,4
"109",33710.3847524451,13,0,2,2,2,6,6,3
"110",4257.137737984,13,0,2,4,6,12,9,4
"111",14844.3410169218,132,0,1,3,0,3,6,4
"112",12462.802770361,61,0,2,4,0,0,0,4
"113",6832.51660120866,71,1,2,3,0,6,6,3
"114",5825.59348336828,210,1,2,3,0,0,0,4
"115",20673.8519420986,36,0,3,4,2,3,12,1
"116",11010.667976532,179,1,5,2,6,0,0,3
